[Data],,,
,Trunk Angle,Hip Angle,Knee Angle
,Trunk Flexion / Extension Joint Angle (deg),Hip Flexion / Extension Joint Angle (deg),Knee Flexion / Extension Joint Angle (deg)
Index,Series,Series,Series
494,-13.081802,-6.062184,1.968337
495,-13.096766,-6.077137,1.946602
496,-13.123328,-6.015462,1.969918
497,-13.114897,-6.041961,1.97074
498,-13.104984,-6.050329,1.954133
499,-13.101536,-6.043587,1.964095
500,-13.100937,-6.056619,1.998495
501,-13.1131,-6.022878,1.981917
502,-13.116007,-6.025543,1.979363
503,-13.083576,-6.094262,1.974743
504,-13.080345,-6.082309,1.980902
505,-13.109352,-6.020126,1.992708
506,-13.075354,-6.085509,1.989629
507,-13.069763,-6.085189,1.999485
508,-13.058966,-6.110227,1.983641
509,-13.073342,-6.104516,1.978743
510,-13.068435,-6.102443,1.980026
511,-13.094922,-6.066363,1.984863
512,-13.079955,-6.096042,1.980575
513,-13.082969,-6.080555,1.994838
514,-13.080136,-6.093026,1.980405
515,-13.086766,-6.067221,1.999913
516,-13.062536,-6.110871,1.963955
517,-13.083316,-6.088523,1.966731
518,-13.066802,-6.076866,1.994485
519,-13.10042,-6.042246,1.993046
520,-13.088471,-6.054139,1.996028
521,-13.090919,-6.053827,2.006516
522,-13.090277,-6.042272,2.011077
523,-13.078081,-6.0296,2.012671
524,-13.085222,-6.02036,2.023252
525,-13.095418,-6.028564,2.021543
526,-13.086548,-6.015451,2.027963
527,-13.084913,-6.027688,2.009164
528,-13.096918,-6.02377,2.016554
529,-13.09194,-6.041293,1.99091
530,-13.09173,-6.03161,1.997566
531,-13.074159,-6.053565,2.001469
532,-13.080403,-6.009851,2.011982
533,-13.071363,-6.004611,2.010903
534,-13.079211,-6.01929,2.005652
535,-13.048607,-6.04275,1.988473
536,-13.054317,-6.046681,1.991794
537,-13.072935,-6.036629,1.973664
538,-13.06231,-6.032771,1.977229
539,-13.032692,-6.035025,2.014354
540,-13.086183,-5.983524,1.969752
541,-13.062942,-6.00044,1.993122
542,-13.058166,-6.02344,1.986008
543,-13.052809,-6.020741,1.976238
544,-13.053456,-6.011513,1.977873
545,-13.05048,-6.015236,1.974929
546,-13.054938,-6.014595,1.968274
547,-13.028918,-6.036584,1.959373
548,-13.047339,-6.026377,1.953348
549,-13.039263,-6.033901,1.948557
550,-13.002041,-6.041779,1.966678
551,-13.00594,-6.06566,1.950347
552,-13.006975,-6.039792,1.967239
553,-12.993757,-6.025682,1.973307
554,-12.999505,-6.053162,1.956257
555,-12.976535,-6.032181,1.984509
556,-12.976908,-6.036382,1.970243
557,-12.977177,-6.039431,1.964697
558,-12.977499,-6.030354,1.980152
559,-12.985235,-6.009908,1.968385
560,-12.968187,-6.016036,1.990853
561,-12.969172,-6.021316,1.974164
562,-12.997045,-6.005766,1.966287
563,-12.962428,-6.024647,1.970416
564,-12.987017,-6.011188,1.9464
565,-12.965523,-6.03242,1.940308
566,-13.006201,-5.999641,1.929961
567,-13.003027,-5.975112,1.962684
568,-12.979245,-5.993484,1.973029
569,-13.021564,-5.958113,1.974221
570,-12.978663,-5.99456,1.956507
571,-12.998325,-5.982484,1.956394
572,-13.009266,-5.976186,1.955691
573,-13.002056,-5.976077,1.945599
574,-12.98972,-5.955858,1.977513
575,-13.012002,-5.967023,1.944231
576,-13.037772,-5.961704,1.933586
577,-13.019565,-5.969595,1.94586
578,-12.975488,-5.971601,1.93898
579,-13.017435,-5.882064,1.948473
580,-12.948385,-6.011103,1.921611
581,-13.025836,-5.973556,1.949427
582,-13.01161,-5.985961,1.938535
583,-13.044896,-5.961447,1.93596
584,-13.066624,-5.923059,1.92801
585,-13.024932,-5.961626,1.944976
586,-13.048129,-5.942204,1.947391
587,-13.051138,-5.951465,1.924739
588,-12.990934,-5.949118,1.935581
589,-13.051046,-5.957135,1.908128
590,-13.050477,-5.944439,1.944494
591,-13.047146,-5.952701,1.929965
592,-13.041691,-5.967521,1.924712
593,-13.043369,-5.943076,1.964577
594,-13.057579,-5.949976,1.910689
595,-13.087896,-5.930827,1.931394
596,-13.02401,-5.932125,1.950723
597,-13.080669,-5.929057,1.926574
598,-13.081248,-5.922134,1.925522
599,-13.069668,-5.939129,1.935526
600,-13.074674,-5.92914,1.934882
601,-13.050172,-5.974838,1.914254
602,-13.055841,-5.952877,1.952205
603,-13.051527,-5.992389,1.928832
604,-13.037569,-5.937687,1.946278
605,-13.064326,-5.947995,1.95991
606,-13.048069,-5.990294,1.921918
607,-13.066021,-5.97508,1.936379
608,-13.074989,-5.960674,1.95137
609,-13.101364,-5.950485,1.931255
610,-13.080134,-5.969623,1.935699
611,-13.100262,-5.952282,1.948044
612,-13.066179,-5.938725,1.94973
613,-13.087365,-5.979434,1.929296
614,-13.070012,-5.95923,1.937759
615,-13.061851,-5.967496,1.91998
616,-13.027948,-6.027789,1.896897
617,-13.050691,-6.013211,1.900652
618,-13.113448,-6.000108,1.923475
619,-13.045856,-6.04834,1.884213
620,-13.114398,-6.056355,1.863198
621,-13.064444,-6.044442,1.875286
622,-13.057653,-6.052005,1.904372
623,-13.058308,-6.052804,1.899311
624,-13.078264,-6.040397,1.895552
625,-13.07025,-6.040444,1.901835
626,-13.13108,-6.054276,1.895703
627,-13.088548,-6.007412,1.884934
628,-13.126452,-5.996871,1.882944
629,-13.092545,-6.06366,1.87907
630,-13.138253,-5.982447,1.895624
631,-13.136785,-6.005278,1.875612
632,-13.144245,-5.9813,1.894426
633,-13.118379,-5.995475,1.906112
634,-13.130836,-6.004913,1.890697
635,-13.143318,-5.992524,1.923419
636,-13.157515,-5.993844,1.904032
637,-13.224586,-5.984414,1.905084
638,-13.165993,-6.004834,1.901647
639,-13.184608,-5.977481,1.908466
640,-13.159412,-5.999743,1.921028
641,-13.140621,-6.026056,1.913498
642,-13.154095,-6.00118,1.93961
643,-13.147017,-6.011158,1.931467
644,-13.137392,-6.021733,1.945562
645,-13.156034,-6.021977,1.926672
646,-13.150053,-6.028961,1.925924
647,-13.160254,-6.026356,1.913848
648,-13.158741,-6.015789,1.941075
649,-13.139276,-6.064389,1.906873
650,-13.149284,-6.057034,1.943176
651,-13.14811,-6.063761,1.9113
652,-13.153864,-6.050612,1.932729
653,-13.140112,-6.098826,1.918157
654,-13.158526,-6.063736,1.932052
655,-13.140826,-6.093784,1.914434
656,-13.154696,-6.086553,1.919714
657,-13.12434,-6.097268,1.949396
658,-13.130588,-6.105292,1.940106
659,-13.162807,-6.081206,1.938051
660,-13.148893,-6.107102,1.935654
661,-13.160272,-6.07992,1.951952
662,-13.140843,-6.105333,1.953971
663,-13.160797,-6.084826,1.94625
664,-13.157945,-6.102176,1.9347
665,-13.17945,-6.087856,1.963401
666,-13.169284,-6.100338,1.961739
