[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
486,16.012613,-3.615622,16.016197,-9.402763
487,15.996621,-3.646715,15.221617,-9.796082
488,15.981412,-3.664085,14.415797,-10.175591
489,15.975696,-3.658401,13.600938,-10.534042
490,15.98264,-3.626436,12.779052,-10.86573
491,15.998454,-3.57439,11.955521,-11.171173
492,16.016722,-3.513568,11.136931,-11.457924
493,16.035162,-3.45076,10.326464,-11.735481
494,16.057117,-3.385489,9.525259,-12.009476
495,16.088545,-3.312624,8.734976,-12.281128
496,16.132317,-3.226031,7.95603,-12.550903
497,16.183434,-3.12253,7.185972,-12.821259
498,16.23097,-3.003371,6.420695,-13.094421
499,16.262739,-2.876518,5.658444,-13.367554
500,16.273254,-2.752787,4.903835,-13.632736
501,16.268417,-2.636295,4.166245,-13.883377
502,16.258354,-2.523592,3.454676,-14.11895
503,16.252047,-2.407512,2.774948,-14.343964
504,16.253683,-2.281868,2.129689,-14.564034
505,16.260731,-2.143787,1.517583,-14.78376
506,16.265688,-1.992964,0.933589,-15.005272
507,16.259405,-1.832479,0.37397,-15.227554
508,16.238363,-1.66729,-0.158441,-15.447357
509,16.208172,-1.502252,-0.65492,-15.660568
510,16.178524,-1.340433,-1.106437,-15.862358
511,16.15547,-1.181735,-1.507998,-16.046577
512,16.140003,-1.02287,-1.858134,-16.20784
513,16.131418,-0.859994,-2.156023,-16.345657
514,16.126308,-0.695872,-2.398136,-16.463272
515,16.118681,-0.540002,-2.577638,-16.562881
516,16.105488,-0.398891,-2.688184,-16.644211
517,16.088099,-0.271867,-2.729004,-16.707344
518,16.070421,-0.153158,-2.706079,-16.755424
519,16.054424,-0.036052,-2.631412,-16.793709
520,16.039209,0.087507,-2.524306,-16.82798
521,16.022409,0.225643,-2.410079,-16.866348
522,16.002937,0.382474,-2.312927,-16.919678
523,15.982266,0.556242,-2.248943,-16.998039
524,15.96426,0.744183,-2.225375,-17.107643
525,15.952323,0.947612,-2.243871,-17.250198
526,15.946862,1.1714,-2.302772,-17.425079
527,15.945966,1.418828,-2.397152,-17.631981
528,15.949719,1.689722,-2.517843,-17.868034
529,15.959465,1.979859,-2.649811,-18.120934
530,15.974328,2.27811,-2.771299,-18.367485
531,15.990766,2.566628,-2.858851,-18.582611
532,16.004816,2.830186,-2.896286,-18.747543
533,16.013195,3.062889,-2.878143,-18.850021
534,16.014389,3.267273,-2.807643,-18.885452
535,16.011505,3.451681,-2.693925,-18.859001
536,16.013266,3.627432,-2.548267,-18.78038
537,16.029165,3.80406,-2.380789,-18.657784
538,16.063358,3.985734,-2.199849,-18.498566
539,16.115566,4.172626,-2.011373,-18.309914
540,16.182623,4.361811,-1.817245,-18.097046
541,16.259052,4.548118,-1.617314,-17.864738
542,16.335947,4.7243,-1.412959,-17.620056
543,16.399719,4.879785,-1.205824,-17.369331
544,16.439636,5.005793,-0.994434,-17.114563
545,16.45715,5.103074,-0.77548,-16.856339
546,16.464565,5.181551,-0.54691,-16.597351
