X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
1.19,0.000145809,3.77135E-05,6.62168E-06,0.000142205,3.34028E-05,9.75232E-06,7.73921E-05,5.78162E-06,0.000217181,7.52809E-06,1.37552E-05,0.00011507
1.2,0.000141861,3.67272E-05,6.12306E-06,0.000141387,3.26076E-05,1.01472E-05,7.14859E-05,6.22753E-06,0.000198757,7.69013E-06,1.44305E-05,0.000116545
1.21,0.000134228,3.86198E-05,6.02173E-06,0.000141606,3.24597E-05,1.11057E-05,6.78716E-05,5.89783E-06,0.000205138,7.54099E-06,1.40256E-05,0.000115441
1.22,0.000120317,3.84925E-05,6.49353E-06,0.000141416,3.37202E-05,1.08318E-05,6.54467E-05,5.84023E-06,0.000211141,7.38808E-06,1.34293E-05,0.000117884
1.23,0.000125093,3.95264E-05,6.59647E-06,0.000140319,3.41021E-05,9.71061E-06,6.8892E-05,6.17756E-06,0.000212114,7.52833E-06,1.31387E-05,0.000121439
1.24,0.000138899,4.04174E-05,6.305E-06,0.000140388,3.40397E-05,1.04138E-05,7.53807E-05,6.0273E-06,0.000209231,7.70756E-06,1.4007E-05,0.000124047
1.25,0.000151845,3.99734E-05,6.2234E-06,0.000140646,3.39316E-05,1.06585E-05,7.80846E-05,5.80124E-06,0.000193207,7.28559E-06,1.21896E-05,0.000122685
1.26,0.000159007,3.91166E-05,5.90618E-06,0.000140681,3.36412E-05,1.09448E-05,7.65958E-05,5.42606E-06,0.000185097,7.37395E-06,1.23736E-05,0.000109908
1.27,0.00015353,3.82117E-05,6.01931E-06,0.000140315,3.36944E-05,1.08583E-05,7.18456E-05,5.32724E-06,0.00020553,7.47608E-06,1.47574E-05,0.000107818
1.28,0.000153521,3.75284E-05,6.47407E-06,0.000140739,3.39245E-05,1.04276E-05,5.96473E-05,5.77052E-06,0.000225666,7.27087E-06,1.46706E-05,0.000112659
1.29,0.000151461,3.72903E-05,6.01029E-06,0.000141752,3.36977E-05,1.06445E-05,5.0864E-05,5.85027E-06,0.000235721,6.91493E-06,1.29161E-05,0.000105515
