Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
5.0600,4.276509,6.419093,1.702667,5.154764
5.0700,3.446344,9.396756,1.886493,7.475617
5.0800,2.373914,8.252187,1.948364,7.096873
5.0900,2.566153,8.111222,1.967494,7.006490
5.1000,3.055767,8.852346,1.833231,7.054304
5.1100,2.913158,7.778508,0.669716,7.098176
5.1200,2.714599,7.566505,0.561501,6.783589
5.1300,2.806096,6.736035,0.459479,6.369245
5.1400,2.974080,6.352448,0.337639,6.093966
5.1500,3.033299,6.073474,0.300661,5.762131
5.1600,3.059873,6.199690,0.298323,4.977461
5.1700,3.156167,6.445336,0.200919,4.743412
5.1800,3.945362,7.309741,0.129559,4.873815
5.1900,3.885584,7.157288,0.119040,4.993944
5.2000,2.822907,6.903496,0.124998,5.087571
5.2100,2.288552,7.418866,0.132337,4.199086
5.2200,1.978704,7.374431,0.106504,4.033767
5.2300,1.599893,7.004070,0.087090,4.838518
5.2400,1.244296,6.929289,0.082457,5.006934
5.2500,1.192315,6.842238,0.085271,5.149990
5.2600,1.322127,6.417866,0.081016,5.148063
5.2700,1.344978,5.997336,0.083972,5.254066
5.2800,1.374582,6.157946,0.089729,5.571806
5.2900,1.291970,6.406981,0.082826,5.620156
5.3000,1.209520,5.933161,0.077951,5.426000
5.3100,1.082562,5.440181,0.077603,5.839940
5.3200,1.010453,5.027112,0.095398,4.226108
5.3300,0.971267,5.093850,0.128251,3.682385
5.3400,0.952390,5.023831,0.141725,3.816331
5.3500,0.905887,4.810950,0.139276,3.597531
5.3600,0.819095,4.871548,0.146164,3.526469
5.3700,0.853164,4.944258,0.150309,3.480220
5.3800,0.854514,4.744559,0.169643,3.431039
5.3900,0.873922,4.469544,0.211792,3.118956
5.4000,0.945630,4.469544,0.233402,3.200772
5.4100,1.470188,5.241492,0.240023,3.234906
5.4200,1.872955,5.632753,0.342704,4.312192
5.4300,2.086583,5.701243,0.621307,4.261357
5.4400,1.917916,5.441011,0.753009,3.694477
5.4500,1.892110,6.772286,1.314638,3.792828
5.4600,2.040051,6.154237,1.933752,4.325991
5.4700,2.116924,6.335145,1.817294,4.468999
5.4800,2.070166,6.523402,1.757304,4.324875
5.4900,1.973695,6.658079,1.623266,4.532124
5.5000,1.657286,6.705807,2.001575,4.495460
5.5100,1.468243,6.191064,2.046938,4.237034
5.5200,1.394049,6.021703,1.828880,4.030731
