Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
11.3100,67.94,0.372527,0.341920,1.239724,0.328269,0.423425,0.406195,0.306305,1.137465,0.329973,0.465431,0.304825,0.340098
11.3200,68.40,0.359913,0.332047,1.238475,0.316981,0.408776,0.389364,0.297559,1.109411,0.318457,0.450281,0.296261,0.330449
11.3300,68.87,0.413762,0.331189,1.220945,0.305909,0.406391,0.372839,0.336339,1.111812,0.307481,0.449775,0.334477,0.329380
11.3400,69.33,0.451243,0.317562,1.213187,0.300827,0.385142,0.363993,0.363896,1.110604,0.302392,0.427886,0.361677,0.315844
11.3500,69.80,0.454555,0.311839,1.212531,0.284809,0.376021,0.340728,0.367214,1.096685,0.286188,0.419048,0.365006,0.310216
11.3600,70.27,0.499868,0.309602,1.217420,0.278731,0.371691,0.331338,0.399551,1.080194,0.280021,0.415498,0.397030,0.308041
11.3700,70.73,0.974838,0.307482,1.225323,0.260436,0.368609,0.306675,0.697163,1.035889,0.261683,0.412645,0.689467,0.305787
11.3800,71.20,1.022460,0.306364,1.120278,0.231407,0.367666,0.268643,0.723084,1.024599,0.232424,0.419033,0.714677,0.304642
11.3900,71.66,1.025818,0.304803,0.990510,0.224285,0.365356,0.259234,0.725582,1.025650,0.225220,0.427879,0.717330,0.303139
11.4000,72.13,1.035917,0.302568,0.914126,0.221905,0.362283,0.256116,0.731377,1.021886,0.222800,0.432246,0.723204,0.300965
11.4100,72.59,1.034231,0.300334,0.858718,0.203043,0.359218,0.231506,0.730410,1.013117,0.203512,0.435190,0.725326,0.299349
11.4200,73.06,1.030469,0.298660,0.812649,0.185223,0.357499,0.209206,0.726547,1.011865,0.185548,0.438267,0.722362,0.297850
11.4300,73.52,1.025818,0.298887,0.786957,0.180484,0.356923,0.203054,0.726748,0.968988,0.180864,0.443684,0.721622,0.297892
11.4400,73.99,1.024138,0.299445,0.767459,0.172210,0.357688,0.192783,0.725780,0.959056,0.172527,0.448150,0.721099,0.298532
